# Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,3rd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,PER,BPM,VORP,WIN,PIE
1st,F,Giannis Antetokounmpo,28,MIL,500,500,1,100,0,0,63,32.1,31.1,11.8,5.7,0.8,0.8,0.553,0.275,0.645,8.6,0.204,29,8.5,5.4,0.707,20.4
1st,F,Jayson Tatum,24,BOS,484,500,0.968,92,8,0,74,36.9,30.1,8.8,4.6,1.1,0.7,0.466,0.35,0.854,10.5,0.185,23.7,5.5,5.1,0.695,16.7
1st,C,Joel Embiid,28,PHI,474,500,0.948,87,13,0,66,34.6,33.1,10.2,4.2,1,1.7,0.548,0.33,0.857,12.3,0.259,31.4,9.2,6.4,0.659,21.3
1st,G,Shai Gilgeous-Alexander,24,OKC,407,500,0.814,63,29,5,68,35.5,31.4,4.8,5.5,1.6,1,0.51,0.345,0.905,11.4,0.226,27.2,7.3,5.6,0.488,17.5
1st,G,Luka Don?i?,23,DAL,403,500,0.806,60,33,4,66,36.2,32.4,8.6,8,1.4,0.5,0.496,0.342,0.742,10.2,0.204,28.7,8.9,6.6,0.463,20.2
2nd,C,Nikola Joki?,27,DEN,364,500,0.728,32,68,0,69,33.7,24.5,11.8,9.8,1.3,0.7,0.632,0.383,0.822,14.9,0.308,31.5,13,8.8,0.646,21.1
2nd,G,Donovan Mitchell,26,CLE,349,500,0.698,45,36,16,68,35.8,28.3,4.3,4.4,1.5,0.4,0.484,0.386,0.867,8.9,0.176,22.9,6.3,5,0.622,14.9
2nd,G,Stephen Curry,34,GSW,188,500,0.376,17,20,43,56,34.7,29.4,6.1,6.3,0.9,0.4,0.493,0.427,0.915,7.8,0.192,24.1,7.5,4.7,0.537,16.6
2nd,F,Jimmy Butler,33,MIA,182,500,0.364,1,52,21,64,33.4,22.9,5.9,5.3,1.8,0.3,0.539,0.35,0.85,12.3,0.277,27.6,8.7,5.8,0.537,17.7
2nd,F,Jaylen Brown,26,BOS,169,500,0.338,1,45,29,67,35.9,26.6,6.9,3.5,1.1,0.4,0.491,0.335,0.765,5,0.1,19.1,1.3,2,0.695,13.2
3rd,C,Domantas Sabonis,26,SAC,147,500,0.294,0,26,69,79,34.6,19.1,12.3,7.3,0.8,0.5,0.615,0.373,0.742,12.6,0.221,23.5,5.8,5.4,0.585,16.1
3rd,G,De'Aaron Fox,25,SAC,144,500,0.288,1,33,40,73,33.4,25,4.2,6.1,1.1,0.3,0.512,0.324,0.78,7.4,0.146,21.8,2.5,2.7,0.585,13.7
3rd,G,Damian Lillard,32,POR,137,500,0.274,0,36,29,58,36.3,32.2,4.8,7.3,0.9,0.3,0.463,0.371,0.914,9,0.205,26.7,7.1,4.9,0.402,17.3
3rd,F,Julius Randle,28,NYK,125,500,0.25,0,30,35,77,35.5,25.1,10,4.1,0.6,0.3,0.459,0.343,0.757,8.1,0.142,20.3,3.7,3.9,0.573,14.8
3rd,F,LeBron James,38,LAL,81,500,0.162,0,16,33,55,35.5,28.9,8.3,6.8,0.9,0.6,0.5,0.321,0.768,5.6,0.13,23.9,6.1,4,0.537,17.2
1st,F,Giannis Antetokounmpo,27,MIL,500,500,1,100,0,0,67,32.9,29.9,11.6,5.8,1.1,1.4,0.553,0.293,0.722,12.9,0.281,32.1,11.2,7.4,0.622,21
1st,G,Luka Don?i?,22,DAL,476,500,0.952,88,12,0,65,35.4,28.4,9.1,8.7,1.2,0.6,0.457,0.353,0.744,7.6,0.159,25.1,8.2,5.9,0.634,19.1
1st,C,Nikola Joki?,26,DEN,476,500,0.952,88,12,0,74,33.5,27.1,13.8,7.9,1.5,0.9,0.583,0.337,0.81,15.2,0.296,32.8,13.7,9.8,0.585,23
1st,G,Devin Booker,25,PHO,460,500,0.92,82,16,2,68,34.5,26.8,5,4.8,1.1,0.4,0.466,0.383,0.868,7.6,0.156,21.3,4.1,3.6,0.78,13.7
1st,F,Jayson Tatum,23,BOS,390,500,0.78,49,47,4,76,35.9,26.9,8,4.4,1,0.6,0.453,0.353,0.853,9.6,0.169,21.8,5,4.8,0.622,15.9
2nd,C,Joel Embiid,27,PHI,414,500,0.828,57,43,0,68,33.8,30.6,11.7,4.2,1.1,1.5,0.499,0.371,0.814,12,0.252,31.2,9.2,6.5,0.622,21.2
2nd,G,Ja Morant,22,MEM,301,500,0.602,13,76,8,57,33.1,27.4,5.7,6.7,1.2,0.4,0.493,0.344,0.761,6.7,0.171,24.4,6.1,3.9,0.683,16.3
2nd,F,Kevin Durant,33,BRK,276,500,0.552,10,68,22,55,37.2,29.9,7.4,6.4,0.9,0.9,0.518,0.383,0.91,8.4,0.198,25.6,7.2,4.8,0.537,18
2nd,G,Stephen Curry,33,GSW,274,500,0.548,9,69,22,64,34.5,25.5,5.2,6.3,1.3,0.4,0.437,0.38,0.923,8,0.173,21.4,5.8,4.4,0.646,15.5
2nd,F,DeMar DeRozan,32,CHI,184,500,0.368,2,39,57,76,36.1,27.9,5.2,4.9,0.9,0.3,0.504,0.352,0.877,8.8,0.154,23.1,2.5,3.1,0.561,14.8
3rd,C,Karl-Anthony Towns,26,MIN,174,500,0.348,0,38,60,74,33.5,24.6,9.8,3.6,1,1.1,0.529,0.41,0.822,10.3,0.199,24.1,5,4.4,0.561,15.9
3rd,F,LeBron James,37,LAL,169,500,0.338,2,35,54,56,37.2,30.3,8.2,6.2,1.3,1.1,0.524,0.359,0.756,7.5,0.172,26.2,7.7,5.1,0.402,18
3rd,G,Chris Paul,36,PHO,114,500,0.228,0,16,66,65,32.9,14.7,4.4,10.8,1.9,0.3,0.493,0.317,0.837,9.4,0.21,20.8,5.4,4,0.78,15
3rd,G,Trae Young,23,ATL,110,500,0.22,0,11,77,76,34.9,28.4,3.7,9.7,0.9,0.1,0.46,0.382,0.904,10,0.181,25.4,5.2,4.8,0.524,16.1
3rd,F,Pascal Siakam,27,TOR,63,500,0.126,0,7,42,68,37.9,22.8,8.5,5.3,1.3,0.6,0.494,0.344,0.749,8.1,0.151,20.3,3.5,3.6,0.585,13.9
1st,F,Giannis Antetokounmpo,26,MIL,500,500,1,100,0,0,61,33,28.1,11,5.9,1.2,1.2,0.569,0.303,0.685,10.2,0.244,29.2,9,5.6,0.639,19.6
1st,C,Nikola Joki?,25,DEN,498,500,0.996,99,1,0,72,34.6,26.4,10.8,8.3,1.3,0.7,0.566,0.388,0.868,15.6,0.301,31.3,12.1,8.8,0.653,20.1
1st,G,Stephen Curry,32,GSW,496,500,0.992,98,2,0,63,34.2,32,5.5,5.8,1.2,0.1,0.482,0.421,0.916,9,0.201,26.3,8.7,5.8,0.542,18.1
1st,G,Luka Don?i?,21,DAL,402,500,0.804,55,41,4,66,34.3,27.7,8,8.6,1,0.5,0.479,0.35,0.73,7.7,0.163,25.3,6.8,5.1,0.583,17.9
1st,F,Kawhi Leonard,29,LAC,323,500,0.646,28,58,9,52,34.1,24.8,6.5,5.2,1.6,0.4,0.512,0.398,0.885,8.8,0.238,26,7.3,4.2,0.653,17
2nd,G,Damian Lillard,30,POR,372,500,0.744,38,60,2,67,35.8,28.8,4.2,7.5,0.9,0.3,0.451,0.391,0.928,10.4,0.209,25.6,6.3,5,0.583,15.8
2nd,C,Joel Embiid,26,PHI,352,500,0.704,28,70,2,51,31.1,28.5,10.6,2.8,1,1.4,0.513,0.377,0.859,8.8,0.266,30.3,7.5,3.8,0.681,20.3
2nd,G,Chris Paul,35,PHO,311,500,0.622,23,62,10,70,31.4,16.4,4.5,8.9,1.4,0.3,0.499,0.395,0.934,9.2,0.201,21.4,4.6,3.6,0.708,15
2nd,F,Julius Randle,26,NYK,253,500,0.506,16,46,35,71,37.6,24.1,10.2,6,0.9,0.3,0.456,0.411,0.811,7.8,0.14,19.7,3.8,3.9,0.569,15.8
2nd,F,LeBron James,36,LAL,174,500,0.348,2,44,32,45,33.4,25,7.7,7.8,1.1,0.6,0.513,0.365,0.698,5.6,0.179,24.2,8.1,3.8,0.583,19.1
3rd,C,Rudy Gobert,28,UTA,148,500,0.296,0,26,70,71,30.8,14.3,13.5,1.3,0.6,2.7,0.675,0,0.623,11.3,0.248,23.5,4.9,3.8,0.722,16.5
3rd,F,Jimmy Butler,31,MIA,131,500,0.262,7,26,18,52,33.6,21.5,6.9,7.1,2.1,0.3,0.497,0.245,0.863,9.3,0.255,26.5,7.7,4.3,0.556,18.4
3rd,F,Paul George,30,LAC,89,500,0.178,0,13,50,54,33.7,23.3,6.6,5.2,1.1,0.4,0.467,0.411,0.868,5.3,0.139,20.5,4.2,2.9,0.653,14.5
3rd,G,Bradley Beal,27,WAS,71,500,0.142,0,7,50,60,35.8,31.3,4.7,4.4,1.2,0.4,0.485,0.349,0.889,5.9,0.132,22.7,3.4,2.9,0.472,14.5
3rd,G,Kyrie Irving,28,BRK,61,500,0.122,0,7,40,54,34.9,26.9,4.8,6,1.4,0.7,0.506,0.402,0.922,7.4,0.18,24.4,5.5,3.6,0.667,14.9
1st,F,Giannis Antetokounmpo,25,MIL,500,500,1,100,0,0,63,30.4,29.5,13.6,5.6,1,1,0.553,0.304,0.633,11.1,0.279,31.9,11.5,6.6,0.767,23.9
1st,F,LeBron James,35,LAL,500,500,1,100,0,0,67,34.6,25.3,7.8,10.2,1.2,0.5,0.493,0.348,0.693,9.8,0.204,25.5,8.4,6.1,0.732,19.8
1st,G,James Harden,30,HOU,474,500,0.948,89,9,2,68,36.5,34.3,6.6,7.5,1.8,0.9,0.444,0.355,0.865,13.1,0.254,29.1,9.6,7.3,0.611,19
1st,C,Anthony Davis,26,LAL,455,500,0.91,79,20,0,62,34.4,26.1,9.3,3.2,1.5,2.3,0.503,0.33,0.846,11.1,0.25,27.4,8,5.4,0.732,17.9
1st,G,Luka Don?i?,20,DAL,416,500,0.832,59,40,1,61,33.6,28.8,9.4,8.8,1,0.2,0.463,0.316,0.758,8.8,0.207,27.6,8.4,5.4,0.573,19.4
2nd,F,Kawhi Leonard,28,LAC,372,500,0.744,39,59,0,57,32.4,27.1,7.1,4.9,1.8,0.6,0.47,0.378,0.886,8.7,0.226,26.9,8.9,5.1,0.681,19.1
2nd,C,Nikola Joki?,24,DEN,311,500,0.622,21,64,14,73,32,19.9,9.7,7,1.2,0.6,0.528,0.314,0.817,9.8,0.202,24.9,7.4,5.5,0.63,17.9
2nd,G,Damian Lillard,29,POR,284,500,0.568,6,82,8,66,37.5,30,4.3,8,1.1,0.3,0.463,0.401,0.888,11.6,0.225,26.9,7.5,5.9,0.473,16.8
2nd,G,Chris Paul,34,OKC,199,500,0.398,2,52,33,70,31.5,17.6,5,6.7,1.6,0.2,0.489,0.365,0.907,8.9,0.193,21.7,4.4,3.5,0.611,15.3
2nd,F,Pascal Siakam,25,TOR,168,500,0.336,1,36,55,60,35.2,22.9,7.3,3.5,1,0.9,0.453,0.359,0.792,5.4,0.123,17.9,1.8,2,0.736,12.9
3rd,F,Jayson Tatum,21,BOS,153,500,0.306,0,32,57,66,34.3,23.4,7,3,1.4,0.9,0.45,0.403,0.812,6.9,0.146,20.4,4,3.4,0.667,14.9
3rd,F,Jimmy Butler,30,MIA,147,500,0.294,0,32,51,58,33.8,19.9,6.7,6,1.8,0.6,0.455,0.244,0.834,9,0.221,23.6,5.4,3.7,0.603,15.9
3rd,C,Rudy Gobert,27,UTA,110,500,0.22,1,19,48,68,34.3,15.1,13.5,1.5,0.8,2,0.693,,0.63,10.7,0.221,21.7,3.6,3.3,0.611,15.1
3rd,G,Ben Simmons,23,PHI,61,500,0.122,0,9,29,57,35.4,16.4,7.8,8,2.1,0.6,0.58,0.286,0.621,6.9,0.165,20.4,3.6,2.8,0.589,14.2
3rd,G,Russell Westbrook,31,HOU,56,500,0.112,0,9,29,57,35.9,27.2,7.9,7,1.6,0.4,0.472,0.258,0.763,4.2,0.098,21,1.5,1.8,0.611,14.5
1st,F,Giannis Antetokounmpo,24,MIL,500,500,1,100,0,0,72,32.8,27.7,12.5,5.9,1.3,1.5,0.578,0.256,0.729,14.4,0.292,30.9,10.4,7.4,0.732,21.8
1st,G,James Harden,29,HOU,500,500,1,100,0,0,78,36.8,36.1,6.6,7.5,2,0.7,0.442,0.368,0.879,15.2,0.254,30.6,11,9.3,0.646,20.1
1st,G,Stephen Curry,30,GSW,482,500,0.964,91,9,0,69,33.8,27.3,5.3,5.2,1.3,0.4,0.472,0.437,0.916,9.7,0.199,24.4,6.6,5.1,0.695,15.2
1st,F,Paul George,28,OKC,433,500,0.866,71,25,3,77,36.9,28,8.2,4.1,2.2,0.4,0.438,0.386,0.839,11.9,0.201,23.3,7.2,6.6,0.598,16.1
1st,C,Nikola Joki?,23,DEN,411,500,0.822,59,38,2,80,31.3,20.1,10.8,7.3,1.4,0.7,0.511,0.307,0.821,11.8,0.226,26.3,9.1,7,0.659,18.8
2nd,C,Joel Embiid,24,PHI,375,500,0.75,40,57,4,64,33.7,27.5,13.6,3.7,0.7,1.9,0.484,0.3,0.804,8.7,0.194,26.1,4.9,3.8,0.622,19.6
2nd,F,Kevin Durant,30,GSW,358,500,0.716,29,71,0,78,34.6,26,6.4,5.9,0.7,1.1,0.521,0.353,0.885,11.5,0.204,24.2,5.5,5.1,0.695,16.2
